epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,12493.3,1.28621,1.33422,1.49042,0.79832,0.53302,0.60207,0.44687,0.98982,0.97465,1.29032,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389
31,12906,1.25377,1.30039,1.47707,0.74171,0.55811,0.60274,0.44684,0.99895,0.97715,1.30694,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
32,13318.9,1.26972,1.3051,1.47636,0.76382,0.55371,0.61045,0.45855,0.98071,0.95556,1.29102,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231
33,13731.7,1.24101,1.26135,1.45794,0.74295,0.56024,0.61812,0.47017,0.94609,0.92864,1.26305,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234
34,14145,1.24299,1.27374,1.46724,0.78454,0.5522,0.60625,0.45506,0.98692,0.96569,1.2907,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976
35,14558.8,1.24078,1.24033,1.45263,0.79105,0.54697,0.61254,0.4679,0.94321,0.943,1.25732,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468
36,14971.9,1.23771,1.23405,1.45145,0.77822,0.55849,0.6148,0.46314,0.96959,0.95551,1.27411,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725
37,15385.4,1.22978,1.23149,1.45117,0.78989,0.56108,0.62179,0.47014,0.95709,0.91307,1.26338,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761
38,15798.6,1.22756,1.2167,1.44324,0.75947,0.56559,0.62407,0.47263,0.94919,0.90582,1.26215,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588
39,16211.4,1.2181,1.20296,1.43841,0.79812,0.5469,0.61497,0.47218,0.9313,0.91393,1.24672,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222
40,16623.9,1.19611,1.16834,1.43265,0.77562,0.56291,0.61585,0.47091,0.93938,0.91662,1.25417,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675
41,17036.3,1.20646,1.17108,1.42944,0.76372,0.57032,0.61945,0.46991,0.94675,0.91047,1.26231,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963
42,17448.9,1.17936,1.14837,1.41188,0.78943,0.55087,0.61985,0.46933,0.95503,0.93213,1.26391,0.019293,0.00643101,0.019293,0.00643101,0.019293,0.00643101,0.019293,0.00643101
43,17861.5,1.18836,1.14997,1.41645,0.81993,0.54135,0.62108,0.47816,0.9298,0.91344,1.24834,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101
44,18274.7,1.17605,1.12938,1.41232,0.77306,0.55925,0.62221,0.47672,0.92878,0.91973,1.25196,0.0183894,0.00612981,0.0183894,0.00612981,0.0183894,0.00612981,0.0183894,0.00612981
45,18687.8,1.17867,1.11667,1.40931,0.80672,0.55745,0.62306,0.47687,0.93791,0.92701,1.2552,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754
46,19101.1,1.18055,1.11675,1.40857,0.80047,0.55838,0.62129,0.47788,0.92786,0.91675,1.24185,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435
47,19514.2,1.178,1.10941,1.40388,0.7896,0.55655,0.62093,0.47901,0.91723,0.90381,1.2399,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704
48,19927.5,1.16856,1.09798,1.39422,0.8019,0.55484,0.62913,0.48058,0.93256,0.88781,1.24598,0.0165475,0.00551584,0.0165475,0.00551584,0.0165475,0.00551584,0.0165475,0.00551584
49,20341.2,1.17485,1.09268,1.39382,0.82284,0.5528,0.63022,0.4841,0.92476,0.88096,1.23702,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081
50,20754.9,1.14353,1.066,1.38906,0.76864,0.56607,0.62327,0.48391,0.91827,0.89313,1.23643,0.0156164,0.00520548,0.0156164,0.00520548,0.0156164,0.00520548,0.0156164,0.00520548
51,21168,1.13695,1.05644,1.37748,0.8102,0.56316,0.63383,0.48832,0.92101,0.8796,1.24008,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,21581.4,1.14198,1.05486,1.37383,0.79279,0.5744,0.63295,0.4923,0.91298,0.88384,1.23427,0.0146836,0.00489452,0.0146836,0.00489452,0.0146836,0.00489452,0.0146836,0.00489452
53,21994.3,1.12172,1.04108,1.36612,0.78646,0.57603,0.63283,0.491,0.91275,0.88944,1.23047,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919
54,22407.3,1.12683,1.0245,1.36544,0.80439,0.5676,0.63328,0.49157,0.91333,0.87747,1.23445,0.0137525,0.00458416,0.0137525,0.00458416,0.0137525,0.00458416,0.0137525,0.00458416
55,22819.7,1.1114,1.02093,1.36436,0.7837,0.56889,0.63304,0.49523,0.89792,0.87766,1.22508,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296
56,23232.4,1.11826,1.01166,1.35594,0.79153,0.57468,0.63607,0.4957,0.90703,0.86779,1.23139,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565
57,23645.1,1.11547,1.00856,1.35592,0.7762,0.58013,0.6359,0.49391,0.90622,0.87508,1.22918,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246
58,24057.8,1.09566,0.98304,1.3485,0.81374,0.57007,0.63493,0.49241,0.90679,0.87722,1.23123,0.0119106,0.00397019,0.0119106,0.00397019,0.0119106,0.00397019,0.0119106,0.00397019
59,24470.9,1.09514,0.97723,1.34178,0.80798,0.56912,0.63398,0.49528,0.89679,0.87151,1.22503,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899
60,24884,1.08839,0.9555,1.33376,0.78934,0.58224,0.63382,0.4942,0.90391,0.87401,1.23494,0.011007,0.00366899,0.011007,0.00366899,0.011007,0.00366899,0.011007,0.00366899
61,25297.4,1.09512,0.968,1.34066,0.79887,0.58132,0.63482,0.49472,0.90013,0.86236,1.22987,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037
62,25710.6,1.08909,0.96312,1.33086,0.76861,0.59436,0.63359,0.49465,0.89887,0.86511,1.23159,0.0101197,0.00337325,0.0101197,0.00337325,0.0101197,0.00337325,0.0101197,0.00337325
63,26123.4,1.07256,0.93631,1.32686,0.78944,0.58146,0.63109,0.49276,0.89823,0.8754,1.22924,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778
64,26536.4,1.07281,0.93227,1.32377,0.81716,0.57165,0.63351,0.49482,0.89633,0.87642,1.22343,0.00925235,0.00308412,0.00925235,0.00308412,0.00925235,0.00308412,0.00925235,0.00308412
65,26949.4,1.06252,0.92076,1.31603,0.80112,0.57433,0.63575,0.49663,0.89182,0.86228,1.21975,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239
66,27362.4,1.0424,0.90334,1.30745,0.79443,0.58008,0.63509,0.49696,0.89376,0.86645,1.22357,0.00840824,0.00280275,0.00840824,0.00280275,0.00840824,0.00280275,0.00840824,0.00280275
67,27775.4,1.04684,0.90613,1.31216,0.80676,0.57595,0.634,0.49665,0.89143,0.86294,1.22314,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532
68,28188.4,1.04855,0.90353,1.30411,0.82405,0.56678,0.6328,0.49593,0.89665,0.86588,1.22668,0.00759073,0.00253024,0.00759073,0.00253024,0.00759073,0.00253024,0.00759073,0.00253024
69,28601.7,1.04388,0.89209,1.30652,0.81392,0.57081,0.6301,0.49461,0.89458,0.87238,1.22529,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766
70,29014.8,1.03027,0.86971,1.29045,0.81035,0.57186,0.63005,0.49369,0.89412,0.87307,1.22402,0.00680306,0.00226769,0.00680306,0.00226769,0.00680306,0.00226769,0.00680306,0.00226769
71,29428.6,1.04148,0.88111,1.29618,0.79847,0.57091,0.63091,0.4948,0.89901,0.87747,1.22922,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046
72,29842,1.02618,0.86829,1.28607,0.78032,0.58296,0.63114,0.49544,0.89431,0.8742,1.22541,0.00604833,0.00201611,0.00604833,0.00201611,0.00604833,0.00201611,0.00604833,0.00201611
73,30255.3,1.02689,0.87393,1.29005,0.78905,0.57451,0.62816,0.49342,0.8945,0.8781,1.22474,0.00568425,0.00189475,0.00568425,0.00189475,0.00568425,0.00189475,0.00568425,0.00189475
74,30668.5,1.03266,0.86488,1.28668,0.79363,0.57717,0.6282,0.49383,0.89607,0.88021,1.2268,0.00532952,0.00177651,0.00532952,0.00177651,0.00532952,0.00177651,0.00532952,0.00177651
75,31081.9,1.01715,0.85258,1.27559,0.79555,0.57719,0.62994,0.49508,0.89569,0.87928,1.22782,0.00498448,0.00166149,0.00498448,0.00166149,0.00498448,0.00166149,0.00498448,0.00166149
76,31495,0.99921,0.83413,1.27182,0.79467,0.5771,0.62992,0.49528,0.8939,0.88153,1.22632,0.00464946,0.00154982,0.00464946,0.00154982,0.00464946,0.00154982,0.00464946,0.00154982
